scope,model,psnr,ssim,lpips,tlpips,fid,temporal_mae,frames,clips_with_gt,mean_psnr_gt,mean_ssim_gt,mean_lpips_gt,mean_tlpips_gt,mean_fid_gt,mean_temporal_mae_gt,clips_without_gt,mean_tlpips_noref
wild,Part 3-A (Rectified-flow),13.9390,0.8184,0.1453,0.0948,,6.4678,229,,,,,,,,,
wild,Part 3-B (Flow-stabilized),13.9781,0.8204,0.1439,0.0953,,6.3549,229,,,,,,,,,
wild,Part 3-B (Temporal + Real-ESRGAN blend),13.8252,0.8141,0.1638,0.1229,,5.6631,229,,,,,,,,,
wild,Part 3-C (Uncertainty-adaptive),13.9199,0.8169,0.1436,0.0921,,6.4898,229,,,,,,,,,
wild,Part 3-D (Streaming distilled diffusion),14.0615,0.8250,0.1344,0.1022,,7.4867,229,,,,,,,,,
part3_agg,Part 3-A (Rectified-flow),,,,,,,,1,13.9390,0.8184,0.1453,0.0948,,6.4678,275,0.2282
part3_agg,Part 3-B (Flow-stabilized),,,,,,,,1,13.9781,0.8204,0.1439,0.0953,,6.3549,275,0.2369
part3_agg,Part 3-B (Temporal + Real-ESRGAN blend),,,,,,,,1,13.8252,0.8141,0.1638,0.1229,,5.6631,275,0.2284
part3_agg,Part 3-C (Uncertainty-adaptive),,,,,,,,1,13.9199,0.8169,0.1436,0.0921,,6.4898,275,0.2333
part3_agg,Part 3-D (Streaming distilled diffusion),,,,,,,,1,14.0615,0.8250,0.1344,0.1022,,7.4867,0,
